level,candidate,accepted,base_outcome,base_min,mirror_outcome,mirror_min
1,1,1,success,0.35751622915267944,success,0.3462281823158264
1,2,1,success,0.32605329155921936,success,0.3294984996318817
1,3,1,success,0.3427760601043701,success,0.33184927701950073
1,4,1,success,0.3238450884819031,success,0.31595557928085327
1,5,1,success,0.3214772045612335,success,0.33325186371803284
1,6,1,success,0.3244698643684387,success,0.32443076372146606
2,1,1,success,0.3370087742805481,success,0.3373093903064728
2,2,1,success,0.3050856590270996,success,0.3064673840999603
2,3,1,success,0.34227678179740906,success,0.33405953645706177
2,4,1,success,0.32423830032348633,success,0.32462355494499207
2,5,1,success,0.3092288374900818,success,0.3091728687286377
2,6,1,success,0.319206565618515,success,0.31990623474121094
3,1,1,success,0.3380223512649536,success,0.3406822383403778
3,2,1,success,0.29039475321769714,success,0.29371851682662964
3,3,1,success,0.365953654050827,success,0.36622586846351624
3,4,1,success,0.3607471287250519,success,0.360932856798172
3,5,1,success,0.3476392328739166,success,0.34527161717414856
3,6,1,success,0.28239813446998596,success,0.28473061323165894
4,1,1,success,0.2862064838409424,success,0.28353530168533325
4,2,1,success,0.29628393054008484,success,0.2956743538379669
4,3,1,success,0.3333548605442047,success,0.32444626092910767
4,4,1,success,0.289010226726532,success,0.29708120226860046
4,5,1,success,0.33183133602142334,success,0.31951549649238586
4,6,1,success,0.2935912609100342,success,0.28272029757499695
5,1,1,success,0.2687268555164337,success,0.251006156206131
5,2,1,success,0.3250088691711426,success,0.3303435444831848
5,3,1,success,0.31165117025375366,success,0.3113469183444977
5,4,1,success,0.3367233872413635,success,0.34823036193847656
5,5,1,success,0.40563246607780457,success,0.40492284297943115
5,6,1,success,0.3077029585838318,success,0.2952052056789398
