scenario,episode,outcome,steps,min_lidar
pillar_left_10cm,1,success,185,0.3623555600643158
pillar_left_10cm,2,success,186,0.34310492873191833
pillar_left_10cm,3,success,174,0.3482866883277893
pillar_left_10cm,4,success,190,0.340409517288208
pillar_left_10cm,5,success,187,0.432935506105423
pillar_left_10cm,6,success,178,0.32707706093788147
pillar_left_10cm,7,success,182,0.28150421380996704
pillar_left_10cm,8,success,188,0.3552989065647125
pillar_left_10cm,9,success,199,0.36340638995170593
pillar_left_10cm,10,success,186,0.34671342372894287
pillar_right_10cm,1,success,244,0.2115066945552826
pillar_right_10cm,2,success,243,0.27280277013778687
pillar_right_10cm,3,success,256,0.2960229814052582
pillar_right_10cm,4,success,257,0.2826031744480133
pillar_right_10cm,5,success,251,0.21398282051086426
pillar_right_10cm,6,success,249,0.23363995552062988
pillar_right_10cm,7,success,246,0.2473193258047104
pillar_right_10cm,8,success,235,0.20878051221370697
pillar_right_10cm,9,success,251,0.28476807475090027
pillar_right_10cm,10,success,245,0.2722718119621277
robot_yaw_left_5deg,1,success,204,0.2644701600074768
robot_yaw_left_5deg,2,success,212,0.3124452233314514
robot_yaw_left_5deg,3,success,205,0.22872282564640045
robot_yaw_left_5deg,4,success,211,0.35392582416534424
robot_yaw_left_5deg,5,success,218,0.32116803526878357
robot_yaw_left_5deg,6,success,207,0.2128535360097885
robot_yaw_left_5deg,7,success,203,0.2246042937040329
robot_yaw_left_5deg,8,success,209,0.2129073441028595
robot_yaw_left_5deg,9,success,205,0.22205938398838043
robot_yaw_left_5deg,10,success,214,0.2494007647037506
robot_yaw_right_5deg,1,success,224,0.3436477780342102
robot_yaw_right_5deg,2,success,227,0.33528926968574524
robot_yaw_right_5deg,3,success,222,0.3242590129375458
robot_yaw_right_5deg,4,success,217,0.33986926078796387
robot_yaw_right_5deg,5,success,229,0.3862578272819519
robot_yaw_right_5deg,6,success,224,0.3492191731929779
robot_yaw_right_5deg,7,success,217,0.3381726145744324
robot_yaw_right_5deg,8,success,224,0.39976078271865845
robot_yaw_right_5deg,9,success,223,0.34595686197280884
robot_yaw_right_5deg,10,success,208,0.28807875514030457
target_left_10cm,1,success,242,0.29160353541374207
target_left_10cm,2,success,229,0.3258553743362427
target_left_10cm,3,success,239,0.3774275779724121
target_left_10cm,4,success,233,0.23644505441188812
target_left_10cm,5,success,235,0.39513370394706726
target_left_10cm,6,success,236,0.3176191449165344
target_left_10cm,7,success,246,0.37636101245880127
target_left_10cm,8,success,237,0.29290691018104553
target_left_10cm,9,success,240,0.30059587955474854
target_left_10cm,10,success,232,0.293183296918869
target_right_10cm,1,success,208,0.29943758249282837
target_right_10cm,2,success,187,0.29693514108657837
target_right_10cm,3,success,185,0.26062753796577454
target_right_10cm,4,success,198,0.30334562063217163
target_right_10cm,5,success,209,0.35719946026802063
target_right_10cm,6,success,193,0.28359901905059814
target_right_10cm,7,success,196,0.36126211285591125
target_right_10cm,8,success,212,0.3966373801231384
target_right_10cm,9,success,214,0.33236727118492126
target_right_10cm,10,success,203,0.30332863330841064
