scenario,episode,outcome,steps,min_lidar
ood_seed29012_task01,1,success,165,0.3649877607822418
ood_seed29012_task01,2,success,155,0.2916310429573059
ood_seed29012_task01,3,success,162,0.3723045289516449
ood_seed29012_task01,4,success,157,0.36849942803382874
ood_seed29012_task01,5,success,151,0.35731667280197144
ood_seed29012_task02,1,timeout,300,0.2592393159866333
ood_seed29012_task02,2,timeout,300,0.3848915696144104
ood_seed29012_task02,3,success,286,0.28287041187286377
ood_seed29012_task02,4,timeout,300,0.377453476190567
ood_seed29012_task02,5,success,298,0.37505581974983215
ood_seed29012_task03,1,success,250,0.2865060269832611
ood_seed29012_task03,2,success,251,0.35336071252822876
ood_seed29012_task03,3,success,250,0.40274736285209656
ood_seed29012_task03,4,collision,29,0.1831250637769699
ood_seed29012_task03,5,success,258,0.25484174489974976
ood_seed29012_task04,1,success,275,0.3898189961910248
ood_seed29012_task04,2,success,268,0.298723965883255
ood_seed29012_task04,3,success,260,0.2385179102420807
ood_seed29012_task04,4,success,274,0.23951703310012817
ood_seed29012_task04,5,success,272,0.3198743462562561
ood_seed29012_task05,1,timeout,300,0.383201003074646
ood_seed29012_task05,2,success,218,0.46078360080718994
ood_seed29012_task05,3,timeout,300,0.41225066781044006
ood_seed29012_task05,4,success,223,0.46751928329467773
ood_seed29012_task05,5,success,287,0.47036170959472656
ood_seed29012_task06,1,success,199,0.24703411757946014
ood_seed29012_task06,2,collision,22,0.19859492778778076
ood_seed29012_task06,3,success,204,0.2174789309501648
ood_seed29012_task06,4,collision,20,0.18712085485458374
ood_seed29012_task06,5,collision,19,0.1973026692867279
ood_seed29012_task07,1,collision,14,0.1932959258556366
ood_seed29012_task07,2,collision,15,0.19180724024772644
ood_seed29012_task07,3,collision,15,0.19582615792751312
ood_seed29012_task07,4,collision,15,0.17320497334003448
ood_seed29012_task07,5,collision,17,0.1881164163351059
ood_seed29012_task08,1,collision,29,0.1943722367286682
ood_seed29012_task08,2,collision,24,0.1806311160326004
ood_seed29012_task08,3,success,255,0.2826573848724365
ood_seed29012_task08,4,collision,24,0.18200919032096863
ood_seed29012_task08,5,success,239,0.20612911880016327
ood_seed29012_task09,1,success,281,0.28110504150390625
ood_seed29012_task09,2,success,278,0.32048532366752625
ood_seed29012_task09,3,success,283,0.305189311504364
ood_seed29012_task09,4,success,280,0.22759315371513367
ood_seed29012_task09,5,success,291,0.29707419872283936
ood_seed29012_task10,1,success,179,0.3122270107269287
ood_seed29012_task10,2,success,174,0.2945491671562195
ood_seed29012_task10,3,success,164,0.28301870822906494
ood_seed29012_task10,4,success,165,0.2797781229019165
ood_seed29012_task10,5,success,175,0.3128064274787903
ood_seed29012_task11,1,success,263,0.2805594801902771
ood_seed29012_task11,2,success,271,0.3180074095726013
ood_seed29012_task11,3,success,267,0.29667237401008606
ood_seed29012_task11,4,success,253,0.23030537366867065
ood_seed29012_task11,5,success,274,0.2878738045692444
ood_seed29012_task12,1,success,148,0.34411993622779846
ood_seed29012_task12,2,success,134,0.27690204977989197
ood_seed29012_task12,3,success,135,0.3055705428123474
ood_seed29012_task12,4,success,142,0.29192879796028137
ood_seed29012_task12,5,success,165,0.36201533675193787
