task_name,episode,outcome,steps,min_lidar
ood_seed29012_task01,1,success,135,0.2887413501739502
ood_seed29012_task01,2,success,130,0.2756563425064087
ood_seed29012_task01,3,success,131,0.3227744996547699
ood_seed29012_task01,4,success,136,0.2989792227745056
ood_seed29012_task01,5,success,116,0.21490612626075745
ood_seed29012_task02,1,collision,27,0.1999206393957138
ood_seed29012_task02,2,success,245,0.2845979332923889
ood_seed29012_task02,3,collision,29,0.19300805032253265
ood_seed29012_task02,4,success,274,0.2607569992542267
ood_seed29012_task02,5,collision,28,0.19218362867832184
ood_seed29012_task03,1,collision,297,0.19952420890331268
ood_seed29012_task03,2,success,220,0.3088564872741699
ood_seed29012_task03,3,collision,279,0.19317615032196045
ood_seed29012_task03,4,timeout,300,0.20002561807632446
ood_seed29012_task03,5,collision,289,0.19543123245239258
ood_seed29012_task04,1,collision,24,0.1710018664598465
ood_seed29012_task04,2,success,247,0.2218603938817978
ood_seed29012_task04,3,timeout,300,0.2760509252548218
ood_seed29012_task04,4,success,240,0.24778735637664795
ood_seed29012_task04,5,collision,24,0.17639824748039246
ood_seed29012_task05,1,success,160,0.2969140112400055
ood_seed29012_task05,2,success,185,0.35213735699653625
ood_seed29012_task05,3,success,189,0.3581697642803192
ood_seed29012_task05,4,success,175,0.33153578639030457
ood_seed29012_task05,5,success,172,0.3714560568332672
ood_seed29012_task06,1,collision,20,0.19078747928142548
ood_seed29012_task06,2,collision,18,0.19965443015098572
ood_seed29012_task06,3,collision,19,0.1916532814502716
ood_seed29012_task06,4,collision,19,0.18107829988002777
ood_seed29012_task06,5,collision,19,0.1832115799188614
ood_seed29012_task07,1,collision,14,0.1920892298221588
ood_seed29012_task07,2,collision,14,0.18833859264850616
ood_seed29012_task07,3,collision,14,0.18594467639923096
ood_seed29012_task07,4,collision,14,0.19174212217330933
ood_seed29012_task07,5,collision,15,0.1986519694328308
ood_seed29012_task08,1,collision,23,0.1930830180644989
ood_seed29012_task08,2,collision,24,0.19691430032253265
ood_seed29012_task08,3,collision,24,0.1824028640985489
ood_seed29012_task08,4,collision,22,0.1928090900182724
ood_seed29012_task08,5,collision,26,0.19294093549251556
ood_seed29012_task09,1,timeout,300,0.23494040966033936
ood_seed29012_task09,2,timeout,300,0.21875473856925964
ood_seed29012_task09,3,collision,28,0.18578648567199707
ood_seed29012_task09,4,collision,26,0.17272889614105225
ood_seed29012_task09,5,success,260,0.2694166600704193
ood_seed29012_task10,1,collision,23,0.1773671954870224
ood_seed29012_task10,2,success,139,0.2730195224285126
ood_seed29012_task10,3,success,136,0.21310681104660034
ood_seed29012_task10,4,success,147,0.2564719617366791
ood_seed29012_task10,5,collision,24,0.1974179893732071
ood_seed29012_task11,1,collision,22,0.19372084736824036
ood_seed29012_task11,2,timeout,300,0.259967178106308
ood_seed29012_task11,3,timeout,300,0.22231453657150269
ood_seed29012_task11,4,timeout,300,0.23025675117969513
ood_seed29012_task11,5,timeout,300,0.2557610869407654
ood_seed29012_task12,1,success,124,0.29815322160720825
ood_seed29012_task12,2,success,114,0.26696744561195374
ood_seed29012_task12,3,success,119,0.2845446765422821
ood_seed29012_task12,4,success,112,0.21657580137252808
ood_seed29012_task12,5,collision,20,0.1879996359348297
