scene,pair,mirror_side,episode,outcome,steps,min_lidar
mirror_pair01_positive,1,positive,1,success,168,0.20250675082206726
mirror_pair01_positive,1,positive,2,success,163,0.21572533249855042
mirror_pair01_positive,1,positive,3,success,168,0.22780747711658478
mirror_pair01_negative,1,negative,1,success,232,0.258527010679245
mirror_pair01_negative,1,negative,2,success,246,0.2896084785461426
mirror_pair01_negative,1,negative,3,success,243,0.3052991032600403
mirror_pair02_positive,2,positive,1,early_collision,17,0.19040092825889587
mirror_pair02_positive,2,positive,2,success,162,0.23757000267505646
mirror_pair02_positive,2,positive,3,early_collision,19,0.1975332796573639
mirror_pair02_negative,2,negative,1,early_collision,19,0.19644388556480408
mirror_pair02_negative,2,negative,2,early_collision,20,0.18620549142360687
mirror_pair02_negative,2,negative,3,early_collision,19,0.178232342004776
mirror_pair03_positive,3,positive,1,success,176,0.26821908354759216
mirror_pair03_positive,3,positive,2,success,180,0.21116313338279724
mirror_pair03_positive,3,positive,3,early_collision,18,0.19853676855564117
mirror_pair03_negative,3,negative,1,success,233,0.2254093885421753
mirror_pair03_negative,3,negative,2,early_collision,23,0.1984066367149353
mirror_pair03_negative,3,negative,3,early_collision,18,0.18544816970825195
mirror_pair04_positive,4,positive,1,early_collision,22,0.1943308711051941
mirror_pair04_positive,4,positive,2,early_collision,22,0.198764368891716
mirror_pair04_positive,4,positive,3,success,176,0.21146859228610992
mirror_pair04_negative,4,negative,1,success,206,0.22637616097927094
mirror_pair04_negative,4,negative,2,early_collision,21,0.19800782203674316
mirror_pair04_negative,4,negative,3,success,212,0.2250186800956726
mirror_pair05_positive,5,positive,1,early_collision,15,0.17514866590499878
mirror_pair05_positive,5,positive,2,early_collision,15,0.1981852799654007
mirror_pair05_positive,5,positive,3,early_collision,16,0.17500901222229004
mirror_pair05_negative,5,negative,1,success,193,0.21760831773281097
mirror_pair05_negative,5,negative,2,early_collision,16,0.18142065405845642
mirror_pair05_negative,5,negative,3,success,193,0.20635665953159332
mirror_pair06_positive,6,positive,1,success,173,0.3273439407348633
mirror_pair06_positive,6,positive,2,success,154,0.20192016661167145
mirror_pair06_positive,6,positive,3,success,164,0.25672855973243713
mirror_pair06_negative,6,negative,1,success,249,0.23509180545806885
mirror_pair06_negative,6,negative,2,success,250,0.26703810691833496
mirror_pair06_negative,6,negative,3,success,238,0.2118147909641266
