scene,pair,mirror_side,episode,step,residual_linear,residual_angular,cmd_linear,cmd_angular,gate_active,min_lidar,robot_x,robot_y,robot_yaw_deg,obs_00,obs_01,obs_02,obs_03,obs_04,obs_05,obs_06,obs_07,obs_08,obs_09,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15
mirror_pair01_positive,1,positive,1,1,0.8869588375091553,-0.9531124830245972,0.13434794545173645,-0.2859337627887726,1,0.6684242486953735,0.0004505050198415476,0.0002300951366116694,11.0,1.0,1.0,1.0,1.0,0.19173692166805267,0.2034861296415329,1.0,1.0,1.0,1.0,0.0,0.0,0.18634331226348877,-0.13761742413043976,0.990485429763794,-0.04394444450736046
mirror_pair01_positive,1,positive,1,2,0.8869263529777527,-0.9531033039093018,0.13434632122516632,-0.2859309911727905,1,0.6515359878540039,0.011200790984248202,0.0024135491612037588,12.0,1.0,1.0,1.0,1.0,0.19097836315631866,0.20461280643939972,1.0,1.0,1.0,1.0,0.0,0.0,0.18630854785442352,-0.13779029250144958,0.9904614090919495,-0.04399999976158142
mirror_pair01_positive,1,positive,1,3,0.9279505610466003,-0.9687500596046448,0.13639754056930542,-0.29062503576278687,1,0.6308485269546509,0.0376946551497804,0.0073571247455228115,9.0,1.0,1.0,1.0,1.0,0.18615314364433289,0.20382149517536163,1.0,1.0,1.0,1.0,0.8869588375091553,-0.9531124830245972,0.18529890477657318,-0.15574489533901215,0.9877973198890686,-0.04977777600288391
mirror_pair01_positive,1,positive,1,4,0.9294806122779846,-0.9694376587867737,0.13647404313087463,-0.2908312976360321,1,0.6004828214645386,0.06532580565070212,0.010897384937469098,6.0,1.0,1.0,1.0,1.0,0.18024243414402008,0.1868276447057724,1.0,1.0,1.0,1.0,0.8869263529777527,-0.9531033039093018,0.18281330168247223,-0.1057434231042862,0.9943934679031372,-0.03372222185134888
mirror_pair01_positive,1,positive,1,5,0.9313642978668213,-0.9702346324920654,0.13656821846961975,-0.2910704016685486,1,0.5600966811180115,0.09297382209507998,0.012873563784089008,2.0,1.0,1.0,1.0,1.0,0.174944207072258,0.17156651616096497,1.0,1.0,1.0,1.0,0.9279505610466003,-0.9687500596046448,0.1806655377149582,-0.054427362978458405,0.9985177516937256,-0.01733333244919777
mirror_pair01_positive,1,positive,1,6,0.9331154227256775,-0.9710663557052612,0.1366557776927948,-0.29131990671157837,1,0.5156219601631165,0.11602506203902499,0.013297739242641873,0.0,1.0,1.0,1.0,1.0,0.1815909594297409,0.1600276231765747,1.0,1.0,1.0,1.0,0.9294806122779846,-0.9694376587867737,0.17765074968338013,0.014834754168987274,0.9998899698257446,0.0047222222201526165
mirror_pair01_positive,1,positive,1,7,0.9436895847320557,-0.9754252433776855,0.1371844857931137,-0.29262757301330566,1,0.5082056522369385,0.14872516835884164,0.011953952104079289,356.0,1.0,1.0,1.0,1.0,0.18457750976085663,0.14732055366039276,0.21481874585151672,1.0,1.0,1.0,0.9313642978668213,-0.9702346324920654,0.17550677061080933,0.05024431645870209,0.9987369775772095,0.01600000075995922
mirror_pair01_positive,1,positive,1,8,0.9348459839820862,-0.9731397032737732,0.13674230873584747,-0.29194191098213196,1,0.4821622669696808,0.176313126555823,0.009082851272788175,352.0,1.0,1.0,1.0,1.0,1.0,0.14520160853862762,0.1708727926015854,1.0,1.0,1.0,0.9331154227256775,-0.9710663557052612,0.1724746823310852,0.12134963274002075,0.9926097989082336,0.03872222080826759
mirror_pair01_positive,1,positive,1,9,0.9371094703674316,-0.9740762114524841,0.13685548305511475,-0.29222288727760315,1,0.452792227268219,0.20386602740551876,0.004614572713333964,349.0,1.0,1.0,1.0,1.0,1.0,0.13776065409183502,0.1491229236125946,1.0,1.0,1.0,0.9436895847320557,-0.9754252433776855,0.16992561519145966,0.19252195954322815,0.9812926650047302,0.061666667461395264
mirror_pair01_positive,1,positive,1,10,0.9382326602935791,-0.9745422005653381,0.13691163063049316,-0.29236266016960144,1,0.4221671521663666,0.23092560861138456,-0.0014359705753165981,346.0,1.0,1.0,1.0,1.0,1.0,0.13482199609279633,0.12936921417713165,1.0,1.0,1.0,0.9348459839820862,-0.9731397032737732,0.16781853139400482,0.22937028110027313,0.9733392596244812,0.07366666942834854
