controller,scene,pair,focus,mirror_side,episode,outcome,steps,min_lidar
v5_actor,diag_pair01_near_positive,1,near,positive,1,success,174,0.21998463571071625
v5_actor,diag_pair01_near_positive,1,near,positive,2,success,185,0.22468902170658112
v5_actor,diag_pair01_near_positive,1,near,positive,3,success,183,0.20774111151695251
v5_actor,diag_pair01_near_negative,1,near,negative,1,success,222,0.24805070459842682
v5_actor,diag_pair01_near_negative,1,near,negative,2,success,224,0.26381930708885193
v5_actor,diag_pair01_near_negative,1,near,negative,3,success,205,0.21216684579849243
v5_actor,diag_pair02_near_positive,2,near,positive,1,collision,19,0.19439545273780823
v5_actor,diag_pair02_near_positive,2,near,positive,2,success,176,0.21698243916034698
v5_actor,diag_pair02_near_positive,2,near,positive,3,collision,19,0.18189997971057892
v5_actor,diag_pair02_near_negative,2,near,negative,1,success,209,0.21728582680225372
v5_actor,diag_pair02_near_negative,2,near,negative,2,success,218,0.31777557730674744
v5_actor,diag_pair02_near_negative,2,near,negative,3,success,222,0.2736974060535431
v5_actor,diag_pair03_near_positive,3,near,positive,1,collision,15,0.19118045270442963
v5_actor,diag_pair03_near_positive,3,near,positive,2,collision,17,0.16821162402629852
v5_actor,diag_pair03_near_positive,3,near,positive,3,collision,16,0.19547496736049652
v5_actor,diag_pair03_near_negative,3,near,negative,1,success,225,0.21741849184036255
v5_actor,diag_pair03_near_negative,3,near,negative,2,success,250,0.27315017580986023
v5_actor,diag_pair03_near_negative,3,near,negative,3,success,215,0.20792928338050842
v5_actor,diag_pair04_far_positive,4,far,positive,1,success,217,0.3615526258945465
v5_actor,diag_pair04_far_positive,4,far,positive,2,success,219,0.25823697447776794
v5_actor,diag_pair04_far_positive,4,far,positive,3,success,233,0.28048470616340637
v5_actor,diag_pair04_far_negative,4,far,negative,1,success,251,0.25102782249450684
v5_actor,diag_pair04_far_negative,4,far,negative,2,success,271,0.2698885202407837
v5_actor,diag_pair04_far_negative,4,far,negative,3,success,269,0.45248323678970337
v5_actor,diag_pair05_far_positive,5,far,positive,1,success,230,0.3128358721733093
v5_actor,diag_pair05_far_positive,5,far,positive,2,timeout,300,0.3410278260707855
v5_actor,diag_pair05_far_positive,5,far,positive,3,success,216,0.22769713401794434
v5_actor,diag_pair05_far_negative,5,far,negative,1,success,265,0.4080543518066406
v5_actor,diag_pair05_far_negative,5,far,negative,2,success,288,0.44125211238861084
v5_actor,diag_pair05_far_negative,5,far,negative,3,success,257,0.402863085269928
v5_actor,diag_pair06_far_positive,6,far,positive,1,success,240,0.2646288573741913
v5_actor,diag_pair06_far_positive,6,far,positive,2,success,245,0.2927283048629761
v5_actor,diag_pair06_far_positive,6,far,positive,3,success,223,0.2719998359680176
v5_actor,diag_pair06_far_negative,6,far,negative,1,success,253,0.3870725631713867
v5_actor,diag_pair06_far_negative,6,far,negative,2,success,251,0.4359988272190094
v5_actor,diag_pair06_far_negative,6,far,negative,3,success,252,0.4535055160522461
reactive_template,diag_pair03_near_positive,3,near,positive,1,timeout,300,0.39529967308044434
reactive_template,diag_pair03_near_positive,3,near,positive,2,timeout,300,0.4258227050304413
reactive_template,diag_pair03_near_positive,3,near,positive,3,timeout,300,0.42369696497917175
