scene,pair,mirror_side,episode,classification,steps,min_lidar,final_goal_distance,ever_entered_040,gate_switches,residual_angular_sign_switches,cmd_angular_sign_switches
recovery_pair01_positive,1,positive,1,general_timeout,300,0.2869189977645874,0.40760562896841684,1,48,0,47
recovery_pair01_positive,1,positive,2,general_timeout,300,0.3176351487636566,0.3700652465652031,1,51,0,50
recovery_pair01_positive,1,positive,3,success,292,0.3281539976596832,0.18779928085917258,1,49,0,48
recovery_pair01_negative,1,negative,1,general_timeout,300,0.3790709674358368,0.3017308195881826,1,51,0,51
recovery_pair01_negative,1,negative,2,near_goal_safe_timeout,300,0.27518603205680847,0.26314357019143614,1,51,0,51
recovery_pair01_negative,1,negative,3,near_goal_safe_timeout,300,0.24931049346923828,0.26659176925022815,1,53,0,53
recovery_pair02_positive,2,positive,1,success,233,0.30351993441581726,0.18908751633257398,1,41,0,42
recovery_pair02_positive,2,positive,2,success,237,0.37861907482147217,0.1838754048429309,1,37,0,38
recovery_pair02_positive,2,positive,3,success,229,0.45067137479782104,0.19585708983026648,1,37,0,37
recovery_pair02_negative,2,negative,1,success,272,0.42392295598983765,0.19115829737996934,1,45,0,45
recovery_pair02_negative,2,negative,2,success,297,0.3833327889442444,0.1988966419332435,1,48,0,48
recovery_pair02_negative,2,negative,3,success,280,0.44845789670944214,0.19642075507347106,1,43,0,43
recovery_pair03_positive,3,positive,1,success,232,0.24970509111881256,0.19509776200268578,1,39,0,40
recovery_pair03_positive,3,positive,2,success,241,0.30373257398605347,0.19608398606361466,1,39,0,38
recovery_pair03_positive,3,positive,3,success,300,0.3121128976345062,0.19778565894311395,1,49,0,48
recovery_pair03_negative,3,negative,1,success,252,0.31714683771133423,0.19396071159235764,1,43,0,43
recovery_pair03_negative,3,negative,2,success,257,0.4017553925514221,0.1923810238339536,1,41,0,41
recovery_pair03_negative,3,negative,3,success,259,0.3023747503757477,0.19491379672892323,1,45,0,45
recovery_pair04_positive,4,positive,1,success,243,0.36255624890327454,0.18559707940519687,1,39,0,38
recovery_pair04_positive,4,positive,2,success,246,0.3623763918876648,0.19081664975084126,1,38,0,38
recovery_pair04_positive,4,positive,3,near_goal_safe_timeout,300,0.3256427049636841,0.219069072220175,1,49,0,48
recovery_pair04_negative,4,negative,1,success,277,0.36744940280914307,0.19857057886914115,1,45,0,45
recovery_pair04_negative,4,negative,2,near_goal_safe_timeout,300,0.272029846906662,0.2618805134715139,1,50,0,49
recovery_pair04_negative,4,negative,3,success,264,0.30700379610061646,0.19251381390354427,1,45,0,45
recovery_pair05_positive,5,positive,1,near_goal_safe_timeout,300,0.29680484533309937,0.24419282113746366,1,51,0,50
recovery_pair05_positive,5,positive,2,success,236,0.317889541387558,0.1970065108523459,1,39,0,38
recovery_pair05_positive,5,positive,3,success,214,0.24585002660751343,0.1936491596881149,1,33,0,32
recovery_pair05_negative,5,negative,1,success,256,0.3741723895072937,0.1987361699283507,1,41,0,41
recovery_pair05_negative,5,negative,2,near_goal_safe_timeout,300,0.450680136680603,0.25485214463030065,1,47,0,47
recovery_pair05_negative,5,negative,3,success,266,0.2728598415851593,0.1941628113877932,1,47,0,47
recovery_pair06_positive,6,positive,1,general_timeout,300,0.3196439743041992,0.3024721044031595,1,46,0,45
recovery_pair06_positive,6,positive,2,general_timeout,300,0.28682559728622437,0.336290619168336,1,50,0,49
recovery_pair06_positive,6,positive,3,near_goal_safe_timeout,300,0.2917023301124573,0.20906140912578478,1,49,0,48
recovery_pair06_negative,6,negative,1,success,276,0.4152308702468872,0.1900658702729366,1,45,0,45
recovery_pair06_negative,6,negative,2,success,300,0.43342846632003784,0.1895671719202713,1,47,0,47
recovery_pair06_negative,6,negative,3,near_goal_safe_timeout,300,0.31626221537590027,0.2469160699780458,1,53,0,53
