level,candidate,accepted,base_outcome,base_steps,base_min_lidar,mirror_outcome,mirror_steps,mirror_min_lidar
1,1,1,success,80,0.31318792700767517,success,80,0.3086145222187042
1,2,0,success,108,0.2745474874973297,success,103,0.22931286692619324
1,3,1,success,109,0.28970998525619507,success,115,0.29194918274879456
1,4,1,success,87,0.2532338500022888,success,85,0.2692486047744751
1,5,1,success,87,0.2824926972389221,success,86,0.29411405324935913
1,6,0,success,84,0.2535746991634369,success,86,0.228310689330101
1,7,1,success,94,0.3000350296497345,success,97,0.3025003671646118
1,8,1,success,84,0.2918247580528259,success,84,0.26951053738594055
1,9,1,success,101,0.29247742891311646,success,100,0.2978211045265198
1,10,1,success,101,0.35814300179481506,success,99,0.3407589793205261
2,1,0,success,129,0.23562663793563843,success,129,0.2550061047077179
2,2,1,success,133,0.2654075622558594,success,131,0.27887600660324097
2,3,1,success,127,0.2831381857395172,success,126,0.29504433274269104
2,4,1,success,123,0.2884678840637207,success,122,0.2922595739364624
2,5,1,success,107,0.3610302805900574,success,110,0.3678709864616394
2,6,1,success,119,0.27259501814842224,success,122,0.25375404953956604
2,7,0,success,110,0.25122180581092834,success,113,0.24442610144615173
2,8,1,success,94,0.31681567430496216,success,94,0.29101866483688354
2,9,1,success,193,0.26582083106040955,success,192,0.2702990770339966
2,10,1,success,117,0.3249684274196625,success,117,0.32547807693481445
3,1,1,success,117,0.2945287227630615,success,116,0.2933477759361267
3,2,1,success,119,0.3280286490917206,success,119,0.3246438801288605
3,3,1,success,127,0.25049617886543274,success,127,0.26455259323120117
3,4,1,success,139,0.2975122332572937,success,130,0.29792946577072144
3,5,1,success,132,0.3101012110710144,success,131,0.31472495198249817
3,6,0,success,125,0.23368321359157562,success,126,0.23328691720962524
3,7,0,success,200,0.21835246682167053,success,193,0.205198273062706
3,8,1,success,172,0.2674798369407654,success,174,0.274621844291687
3,9,1,success,132,0.2824190855026245,success,131,0.292087197303772
3,10,1,success,116,0.32233312726020813,success,119,0.3295910060405731
