actor,level,scene,side,outcome,steps,min_lidar
v5,1,level1_00001,base,success,251,0.2235209196805954
v8_bc,1,level1_00001,base,collision,32,0.17386016249656677
v5,1,level1_00001_mirror,mirror,success,119,0.40538761019706726
v8_bc,1,level1_00001_mirror,mirror,success,111,0.3477514982223511
v5,1,level1_00002,base,success,112,0.2281353622674942
v8_bc,1,level1_00002,base,collision,23,0.19882231950759888
v5,1,level1_00002_mirror,mirror,success,265,0.489886999130249
v8_bc,1,level1_00002_mirror,mirror,success,228,0.3814292252063751
v5,2,level2_00001,base,success,274,0.20088519155979156
v8_bc,2,level2_00001,base,collision,24,0.19042806327342987
v5,2,level2_00001_mirror,mirror,success,229,0.44804927706718445
v8_bc,2,level2_00001_mirror,mirror,success,161,0.34102803468704224
v5,2,level2_00002,base,success,220,0.316811203956604
v8_bc,2,level2_00002,base,success,162,0.28420400619506836
v5,2,level2_00002_mirror,mirror,success,247,0.34638676047325134
v8_bc,2,level2_00002_mirror,mirror,success,226,0.25957581400871277
v5,3,level3_00001,base,timeout,300,0.5952861905097961
v8_bc,3,level3_00001,base,timeout,300,0.36467379331588745
v5,3,level3_00001_mirror,mirror,collision,26,0.1929638683795929
v8_bc,3,level3_00001_mirror,mirror,collision,27,0.17419946193695068
v5,3,level3_00002,base,collision,45,0.1819038838148117
v8_bc,3,level3_00002,base,success,147,0.4203159809112549
v5,3,level3_00002_mirror,mirror,collision,36,0.18969976902008057
v8_bc,3,level3_00002_mirror,mirror,collision,35,0.1915469616651535
