name,level,side,outcome,steps,min_lidar,path_points
level1_00001,1,base,success,75,0.25516074895858765,21
level1_00001_mirror,1,mirror,success,75,0.2676323652267456,21
level1_00002,1,base,success,66,0.29739511013031006,18
level1_00002_mirror,1,mirror,success,65,0.3056636452674866,18
level1_00003,1,base,success,99,0.30298081040382385,26
level1_00003_mirror,1,mirror,success,100,0.2958303391933441,26
level1_00004,1,base,success,97,0.3078908622264862,26
level1_00004_mirror,1,mirror,success,101,0.3013560473918915,26
level1_00005,1,base,success,93,0.3021917939186096,24
level1_00005_mirror,1,mirror,success,96,0.29651370644569397,24
level2_00001,2,base,success,90,0.332128643989563,25
level2_00001_mirror,2,mirror,success,90,0.3043334484100342,25
level2_00002,2,base,success,114,0.2902887761592865,32
level2_00002_mirror,2,mirror,success,115,0.28347527980804443,32
level2_00003,2,base,success,134,0.3050265312194824,33
level2_00003_mirror,2,mirror,success,133,0.3016950488090515,33
level2_00004,2,base,success,110,0.22011205554008484,28
level2_00004_mirror,2,mirror,success,108,0.2543089687824249,28
level2_00005,2,base,success,118,0.24437786638736725,30
level2_00005_mirror,2,mirror,success,118,0.24470992386341095,30
level3_00001,3,base,success,135,0.30712729692459106,33
level3_00001_mirror,3,mirror,success,128,0.31443142890930176,33
level3_00002,3,base,success,132,0.3219423294067383,33
level3_00002_mirror,3,mirror,success,131,0.3244699239730835,33
level3_00003,3,base,success,120,0.2824110984802246,34
level3_00003_mirror,3,mirror,success,121,0.28610095381736755,34
level3_00004,3,base,success,112,0.2928548753261566,31
level3_00004_mirror,3,mirror,success,113,0.2966386377811432,31
level3_00005,3,base,success,127,0.3036719262599945,33
level3_00005_mirror,3,mirror,success,120,0.31044498085975647,33
