actor,level,scene,side,outcome,steps,min_lidar
v5,1,level1_00001,base,success,210,0.4178343117237091
v8_bc,1,level1_00001,base,collision,26,0.19513075053691864
v5,1,level1_00001_mirror,mirror,collision,18,0.18168392777442932
v8_bc,1,level1_00001_mirror,mirror,collision,30,0.18696439266204834
v5,1,level1_00002,base,success,89,0.31733083724975586
v8_bc,1,level1_00002,base,success,68,0.23039878904819489
v5,1,level1_00002_mirror,mirror,collision,18,0.19919560849666595
v8_bc,1,level1_00002_mirror,mirror,collision,26,0.1923302263021469
v5,2,level2_00001,base,collision,34,0.1814091056585312
v8_bc,2,level2_00001,base,collision,65,0.19339559972286224
v5,2,level2_00001_mirror,mirror,timeout,300,0.48519009351730347
v8_bc,2,level2_00001_mirror,mirror,collision,64,0.19903822243213654
v5,2,level2_00002,base,success,296,0.20286709070205688
v8_bc,2,level2_00002,base,collision,22,0.1906435340642929
v5,2,level2_00002_mirror,mirror,success,216,0.3441714644432068
v8_bc,2,level2_00002_mirror,mirror,collision,23,0.19307689368724823
v5,3,level3_00001,base,collision,20,0.19654615223407745
v8_bc,3,level3_00001,base,success,123,0.211006298661232
v5,3,level3_00001_mirror,mirror,success,169,0.48234859108924866
v8_bc,3,level3_00001_mirror,mirror,success,123,0.22172009944915771
v5,3,level3_00002,base,timeout,300,0.2201874554157257
v8_bc,3,level3_00002,base,collision,17,0.17981556057929993
v5,3,level3_00002_mirror,mirror,collision,19,0.18205881118774414
v8_bc,3,level3_00002_mirror,mirror,collision,16,0.19496633112430573
